Primary_Accession,Domain,Color,Darkness,Disorder,Compositional_Bias,Transmembrane,Length,Evolutionary_Re-use,Interactions,Coding_Potential
Q9NPB9,Eukaryota,Non-dark,9%,1%,0%,42%,350,3754,16,2.82
Q5JWF8,Eukaryota,Non-dark,1%,0%,0%,0%,245,622,0,5.6
O96019,Eukaryota,Non-dark,10%,4%,0%,0%,429,793,46,5.46
O94805,Eukaryota,Non-dark,9%,6%,0%,0%,426,793,110,7.2
Q9Y615,Eukaryota,Non-dark,1%,23%,0%,0%,435,798,10,7.63
Q9Y614,Eukaryota,Non-dark,12%,11%,0%,0%,415,799,4,6.13
P53396,Eukaryota,Non-dark,3%,7%,0%,0%,1101,629,72,11.12
P11229,Eukaryota,Non-dark,22%,24%,0%,33%,460,3847,86,7.06
P08172,Eukaryota,Non-dark,0%,33%,0%,33%,466,3808,72,6.01
P20309,Eukaryota,Non-dark,50%,13%,0%,26%,590,3468,92,6.72
P08173,Eukaryota,Non-dark,32%,22%,0%,32%,479,3823,106,7.15
P08912,Eukaryota,Non-dark,48%,21%,0%,29%,532,3566,108,6.43
Q8TDX5,Eukaryota,Non-dark,0%,1%,0%,0%,336,527,18,4.23
Q9NRP4,Eukaryota,Dark,100%,25%,0%,0%,125,51,0,1.66
Q8WXI4,Eukaryota,Non-dark,10%,7%,0%,0%,607,250,50,7.71
Q8WYK0,Eukaryota,Non-dark,2%,2%,0%,0%,555,326,54,6.99
Q9NPJ3,Eukaryota,Non-dark,0%,2%,0%,0%,140,NA,14,0.54
Q8N1Q8,Eukaryota,Non-dark,14%,0%,0%,0%,247,309,0,4.65
P21399,Eukaryota,Non-dark,0%,1%,0%,0%,889,516,66,18.24
O00767,Eukaryota,Dark,100%,0%,0%,23%,359,250,58,5.49
Q99798,Eukaryota,Non-dark,4%,11%,0%,0%,780,511,78,13.02
Q86TX2,Eukaryota,Non-dark,3%,1%,0%,0%,421,695,0,7.71
P49753,Eukaryota,Non-dark,9%,1%,0%,0%,483,658,0,8.48
Q8N9L9,Eukaryota,Non-dark,0%,0%,0%,0%,421,1013,4,7.38
Q3I5F7,Eukaryota,Non-dark,4%,0%,0%,0%,207,210,0,4.73
O14734,Eukaryota,Non-dark,13%,10%,0%,0%,319,198,2,3.05
Q9Y305,Eukaryota,Non-dark,20%,7%,0%,0%,439,252,0,4.72
Q15067,Eukaryota,Non-dark,3%,4%,0%,0%,660,1146,48,7.68
Q99424,Eukaryota,Non-dark,7%,1%,0%,0%,681,1160,6,7.87
O15254,Eukaryota,Non-dark,5%,0%,1%,0%,700,1187,42,8.37
Q9NUZ1,Eukaryota,Non-dark,4%,1%,0%,0%,547,1160,0,4.86
P13798,Eukaryota,Non-dark,7%,5%,0%,0%,732,2232,6,7.87
Q8TE99,Eukaryota,Non-dark,18%,3%,0%,0%,480,426,12,8.05
O14561,Eukaryota,Non-dark,42%,0%,0%,0%,156,NA,110,2.26
Q8NEB7,Eukaryota,Dark,100%,33%,0%,0%,543,14,0,12.35
Q96QF7,Eukaryota,Dark,100%,71%,45%,0%,691,214,0,6.63
P10323,Eukaryota,Non-dark,36%,28%,0%,0%,421,3042,6,3.76
Q08AH3,Eukaryota,Non-dark,5%,2%,0%,0%,577,5398,4,7.6
Q68CK6,Eukaryota,Non-dark,7%,3%,0%,0%,577,5391,2,7.45
Q9NUB1,Eukaryota,Non-dark,8%,5%,1%,0%,689,5369,28,12.53
Q9NR19,Eukaryota,Non-dark,10%,7%,0%,0%,701,5399,28,14.81
Q96CM8,Eukaryota,Non-dark,16%,2%,0%,0%,615,5480,2,10.65
Q4G176,Eukaryota,Non-dark,13%,4%,0%,0%,576,5356,0,5.77
Q4L235,Eukaryota,Non-dark,13%,0%,0%,0%,1098,5826,8,6.16
P33121,Eukaryota,Non-dark,24%,2%,0%,3%,698,5235,60,8.72
O95573,Eukaryota,Non-dark,25%,3%,0%,3%,720,5268,54,7.33
O60488,Eukaryota,Non-dark,26%,4%,0%,3%,711,5264,42,5.22
Q9ULC5,Eukaryota,Non-dark,23%,1%,0%,3%,683,5249,54,9.5
Q9UKU0,Eukaryota,Non-dark,24%,2%,0%,3%,697,5234,70,9.29
Q08AH1,Eukaryota,Non-dark,7%,4%,0%,0%,577,5368,4,5.94
Q53FZ2,Eukaryota,Non-dark,9%,3%,0%,0%,586,5380,4,5.17
P0C7M7,Eukaryota,Non-dark,8%,0%,0%,0%,580,5380,2,7.55
Q6NUN0,Eukaryota,Non-dark,7%,5%,0%,0%,579,5382,2,6.03
Q6P461,Eukaryota,Non-dark,0%,0%,0%,0%,480,5112,0,5.33
Q9H6R3,Eukaryota,Non-dark,11%,5%,0%,0%,686,5316,86,8.14
P62736,Eukaryota,Non-dark,1%,3%,0%,0%,377,NA,34,13.29
Q562R1,Eukaryota,Non-dark,1%,1%,0%,0%,376,828,6,12.26
Q9BYX7,Eukaryota,Non-dark,1%,8%,0%,0%,375,821,0,8.74
P60709,Eukaryota,Non-dark,0%,3%,0%,0%,375,NA,42,14.25
P68032,Eukaryota,Non-dark,1%,4%,0%,0%,377,NA,62,13.26
P63261,Eukaryota,Non-dark,1%,3%,0%,0%,375,NA,26,14.15
Q01718,Eukaryota,Non-dark,12%,0%,0%,53%,297,3557,92,4.73
P63267,Eukaryota,Non-dark,1%,3%,0%,0%,376,NA,36,13.38
Q9H568,Eukaryota,Non-dark,2%,4%,0%,0%,366,802,0,3.21
Q8TC94,Eukaryota,Non-dark,12%,14%,0%,0%,416,824,0,7.95
P12814,Eukaryota,Non-dark,2%,7%,0%,0%,892,1563,36,13.97
P35609,Eukaryota,Non-dark,2%,3%,0%,0%,894,1578,52,11.85
Q08043,Eukaryota,Non-dark,3%,2%,0%,0%,901,1542,0,12.04
O43707,Eukaryota,Non-dark,5%,9%,1%,0%,911,1545,28,13.82
P68133,Eukaryota,Non-dark,1%,4%,0%,0%,377,NA,54,13.99
Q8TDG2,Eukaryota,Non-dark,2%,1%,0%,0%,376,826,0,7.69
Q8TDY3,Eukaryota,Non-dark,1%,4%,0%,0%,377,817,0,9.08
Q9BYD9,Eukaryota,Non-dark,1%,0%,0%,0%,372,825,2,7.03
P42025,Eukaryota,Non-dark,2%,2%,0%,0%,376,822,26,8.53
P61163,Eukaryota,Non-dark,3%,1%,0%,0%,376,NA,42,8.79
P36896,Eukaryota,Non-dark,19%,0%,0%,5%,505,5956,76,7.77
Q8NER5,Eukaryota,Non-dark,19%,0%,0%,4%,493,5584,54,6.37
P37023,Eukaryota,Non-dark,16%,3%,0%,5%,503,4655,80,7.57
Q04771,Eukaryota,Non-dark,18%,1%,0%,5%,509,6331,64,6.64
Q03154,Eukaryota,Non-dark,4%,4%,0%,0%,408,884,36,6.84
P45381,Eukaryota,Non-dark,0%,0%,0%,0%,313,81,90,3.76
Q96HD9,Eukaryota,Non-dark,5%,10%,0%,0%,319,109,108,5.56
P07311,Eukaryota,Non-dark,0%,12%,0%,0%,99,229,52,1.7
P14621,Eukaryota,Non-dark,2%,16%,0%,0%,99,231,52,1.77
O14672,Eukaryota,Non-dark,41%,12%,16%,3%,748,728,74,6.1
O75078,Eukaryota,Non-dark,37%,15%,19%,3%,769,802,2,7.96
O43184,Eukaryota,Non-dark,47%,16%,15%,2%,909,814,42,8.21
Q13444,Eukaryota,Non-dark,44%,20%,17%,2%,863,826,28,8.25
P78536,Eukaryota,Non-dark,48%,15%,5%,3%,824,738,42,9.43
Q9Y3Q7,Eukaryota,Non-dark,35%,0%,19%,3%,739,817,0,3.83
Q9H013,Eukaryota,Non-dark,50%,30%,16%,2%,955,816,8,10.2
P35348,Eukaryota,Non-dark,35%,1%,0%,36%,466,3768,24,4.9
P35368,Eukaryota,Non-dark,38%,19%,2%,32%,520,3741,86,7.71
P25100,Eukaryota,Non-dark,46%,23%,1%,30%,572,3637,92,6.97
O43506,Eukaryota,Non-dark,35%,2%,19%,3%,726,820,4,7.86
Q9UKJ8,Eukaryota,Non-dark,35%,0%,20%,3%,722,822,2,7.25
Q9P0K1,Eukaryota,Non-dark,44%,17%,16%,2%,906,800,16,6.47
O75077,Eukaryota,Non-dark,42%,12%,3%,3%,832,788,4,7.16
Q9UKQ2,Eukaryota,Non-dark,36%,13%,17%,3%,775,815,10,8.16
Q9UKF5,Eukaryota,Non-dark,43%,14%,18%,3%,820,809,2,7.03
P08913,Eukaryota,Non-dark,30%,32%,0%,36%,450,3936,102,5.21
P18089,Eukaryota,Non-dark,29%,24%,3%,35%,447,3786,110,8.48
P18825,Eukaryota,Non-dark,31%,22%,3%,37%,462,3809,110,5.95
Q9UKF2,Eukaryota,Non-dark,39%,9%,19%,3%,790,788,2,4.62
Q8TC27,Eukaryota,Non-dark,40%,9%,3%,3%,787,805,0,7.26
Q9BZ11,Eukaryota,Non-dark,41%,12%,18%,3%,813,823,2,9.73
Q96M93,Eukaryota,Non-dark,25%,3%,0%,0%,576,202,2,5.75
Q8NCV1,Eukaryota,Non-dark,29%,24%,0%,0%,583,195,0,12.23
Q6DHV7,Eukaryota,Non-dark,6%,4%,0%,0%,355,357,2,4.43
Q99965,Eukaryota,Non-dark,35%,2%,18%,3%,735,797,16,4.99
Q6NVV9,Eukaryota,Non-dark,47%,3%,0%,0%,412,306,0,NA
Q9H2U9,Eukaryota,Non-dark,37%,3%,24%,3%,754,809,2,7.8
P78325,Eukaryota,Non-dark,45%,19%,0%,3%,824,813,56,9.38
Q13443,Eukaryota,Non-dark,42%,11%,17%,3%,819,817,32,8.51
O75689,Eukaryota,Non-dark,0%,1%,0%,0%,374,992,14,4.37
Q9NPF8,Eukaryota,Non-dark,3%,4%,0%,0%,381,913,40,5.63
A8MUL3,Eukaryota,Dark,100%,24%,0%,0%,147,1,0,NA
O00116,Eukaryota,Non-dark,16%,14%,1%,0%,658,882,16,4.51
Q9BUB4,Eukaryota,Non-dark,29%,15%,0%,0%,502,202,12,4.96
Q7Z6V5,Eukaryota,Non-dark,8%,17%,0%,0%,191,705,10,1.31
Q96EY9,Eukaryota,Non-dark,58%,25%,0%,0%,351,639,18,5.79
P00813,Eukaryota,Non-dark,0%,2%,0%,0%,363,367,48,5.01
Q86TW2,Eukaryota,Non-dark,52%,0%,0%,0%,530,8882,0,6.22
Q7Z695,Eukaryota,Non-dark,59%,0%,0%,3%,626,742,2,4.3
Q8NI60,Eukaryota,Non-dark,66%,18%,0%,0%,647,737,20,9.34
Q96D53,Eukaryota,Non-dark,60%,15%,0%,3%,544,740,0,6.84
Q3MIX3,Eukaryota,Non-dark,59%,0%,0%,3%,580,1284,0,7.2
Q6P093,Eukaryota,Non-dark,18%,0%,0%,0%,401,2104,0,3.09
Q5VUY0,Eukaryota,Non-dark,21%,0%,0%,0%,350,2143,6,3.49
Q5VUY2,Eukaryota,Non-dark,19%,0%,0%,5%,407,2114,0,4.77
Q08828,Eukaryota,Non-dark,57%,5%,0%,22%,1119,1727,84,13.56
Q08462,Eukaryota,Non-dark,56%,5%,0%,23%,1091,1732,70,14.33
O60266,Eukaryota,Non-dark,58%,9%,0%,22%,1144,1743,22,16.81
Q8NFM4,Eukaryota,Non-dark,55%,4%,0%,24%,1077,1748,46,14.12
O95622,Eukaryota,Non-dark,62%,19%,0%,20%,1261,1712,68,17.07
O43306,Eukaryota,Non-dark,59%,7%,0%,18%,1168,1736,56,16.52
P51828,Eukaryota,Non-dark,55%,8%,0%,24%,1080,1738,70,14.96
P40145,Eukaryota,Non-dark,61%,12%,0%,20%,1251,1714,36,16.06
O60503,Eukaryota,Non-dark,68%,14%,0%,18%,1353,1676,46,15.21
Q96PN6,Eukaryota,Non-dark,17%,0%,0%,0%,1610,1855,20,18.12
Q96A70,Eukaryota,Non-dark,10%,2%,0%,0%,460,483,50,6.4
P35611,Eukaryota,Non-dark,67%,51%,0%,0%,737,374,56,9.4
P35612,Eukaryota,Non-dark,67%,49%,0%,0%,726,377,46,8.9
Q9UEY8,Eukaryota,Non-dark,66%,45%,0%,0%,706,373,0,9.53
O15204,Eukaryota,Non-dark,45%,14%,0%,0%,470,764,0,4.45
Q8N7X0,Eukaryota,Non-dark,89%,28%,0%,0%,1667,165,0,18.85
P07327,Eukaryota,Non-dark,0%,0%,0%,0%,375,2526,58,8.95
P00325,Eukaryota,Non-dark,0%,0%,0%,0%,375,2531,68,8.5
P00326,Eukaryota,Non-dark,0%,0%,0%,0%,375,2530,88,8.89
P08319,Eukaryota,Non-dark,0%,0%,0%,0%,380,2505,62,8.73
P28332,Eukaryota,Non-dark,1%,0%,0%,0%,368,2529,46,7.94
P40394,Eukaryota,Non-dark,3%,0%,0%,0%,386,2515,48,8.05
P11766,Eukaryota,Non-dark,0%,0%,0%,0%,374,2537,38,9.76
Q0VDE8,Eukaryota,Dark,100%,0%,0%,26%,80,4,0,3.31
Q15848,Eukaryota,Non-dark,42%,33%,0%,0%,244,466,62,2.15
Q9Y2D8,Eukaryota,Dark,100%,19%,0%,0%,614,49,20,10.37
Q15847,Eukaryota,Dark,100%,64%,0%,0%,76,5,0,1.18
P55263,Eukaryota,Non-dark,6%,4%,0%,0%,362,936,84,7.09
Q7Z4H4,Eukaryota,Non-dark,70%,66%,0%,0%,148,22,110,1.68
C9JUS6,Eukaryota,Dark,100%,11%,0%,0%,153,3,0,1.98
P35318,Eukaryota,Non-dark,61%,49%,0%,0%,185,26,58,2.73
Q6IQ32,Eukaryota,Non-dark,83%,27%,14%,0%,1131,1797,0,12.85
Q9H2P0,Eukaryota,Non-dark,84%,43%,0%,0%,1102,3950,8,13.37
Q9BRR6,Eukaryota,Non-dark,19%,1%,0%,0%,497,45,90,4.69
Q9NRN7,Eukaryota,Non-dark,2%,5%,0%,0%,309,607,20,6.08
P54922,Eukaryota,Non-dark,0%,2%,0%,0%,357,397,30,6.46
Q3LIE5,Eukaryota,Non-dark,3%,5%,0%,0%,342,606,54,6.19
Q96A54,Eukaryota,Dark,100%,14%,0%,39%,375,419,36,5.06
Q86V24,Eukaryota,Dark,100%,19%,0%,38%,386,420,44,4.05
P08588,Eukaryota,Non-dark,24%,16%,0%,38%,477,3794,82,6.01
P07550,Eukaryota,Non-dark,10%,3%,0%,40%,413,3913,54,6.08
P13945,Eukaryota,Non-dark,0%,0%,0%,38%,408,3916,86,3.38
Q16186,Eukaryota,Non-dark,0%,51%,30%,0%,407,105,106,7.92
P22570,Eukaryota,Non-dark,7%,10%,0%,0%,491,889,8,8.34
Q9Y6U3,Eukaryota,Non-dark,1%,10%,0%,0%,715,286,36,9.15
P12235,Eukaryota,Non-dark,2%,0%,0%,62%,298,1984,40,4.95
P05141,Eukaryota,Non-dark,2%,0%,0%,62%,298,1982,48,5.42
P12236,Eukaryota,Non-dark,2%,0%,0%,62%,298,1979,42,5.56
Q9H0C2,Eukaryota,Non-dark,8%,1%,0%,40%,315,1961,24,3.97
Q96IZ2,Eukaryota,Dark,100%,0%,0%,55%,230,83,0,4.14
Q6P4F2,Eukaryota,Non-dark,38%,37%,0%,0%,183,228,0,2.87
P10109,Eukaryota,Non-dark,13%,11%,0%,0%,184,211,24,1.33
Q8IUX7,Eukaryota,Non-dark,49%,49%,29%,0%,1158,1068,4,11.78
Q6ZN18,Eukaryota,Non-dark,76%,60%,43%,0%,517,3535,110,5.73
Q96SZ5,Eukaryota,Non-dark,41%,33%,0%,0%,270,100,26,3.62
Q6UXC1,Eukaryota,Non-dark,60%,18%,0%,2%,1216,438,2,9.51
Q8WTP8,Eukaryota,Non-dark,45%,42%,0%,0%,325,827,2,4.38
Q08117,Eukaryota,Non-dark,44%,20%,84%,0%,197,70,92,4.6
P55197,Eukaryota,Non-dark,89%,67%,1%,0%,1068,519,32,4.74
P55198,Eukaryota,Non-dark,89%,62%,14%,0%,1093,504,14,11.84
Q8TED9,Eukaryota,Non-dark,62%,34%,1%,0%,768,47,72,14.17
Q8N4X5,Eukaryota,Non-dark,62%,50%,0%,0%,818,47,2,14.99
Q13015,Eukaryota,Dark,100%,13%,0%,0%,90,5,2,1.86
P42568,Eukaryota,Non-dark,57%,65%,10%,0%,568,186,66,10.59
P55196,Eukaryota,Non-dark,49%,57%,6%,0%,1824,700,34,20.19
P43652,Eukaryota,Non-dark,1%,1%,0%,0%,599,39,0,8.92
Q8N556,Eukaryota,Non-dark,58%,46%,6%,0%,730,49,2,13.28
P51825,Eukaryota,Non-dark,91%,82%,2%,0%,1210,100,58,13.58
P51816,Eukaryota,Non-dark,92%,64%,0%,0%,1311,99,8,12.5
P51826,Eukaryota,Non-dark,92%,77%,3%,0%,1226,99,2,11.95
Q9UHB7,Eukaryota,Non-dark,90%,82%,36%,0%,1163,99,50,11.76
Q9Y4W6,Eukaryota,Non-dark,31%,12%,0%,5%,797,3041,0,12.69
Q6ULP2,Eukaryota,Dark,100%,50%,0%,0%,937,48,100,15.75
Q5BKT4,Eukaryota,Dark,100%,0%,0%,53%,473,80,10,5.13
Q5I7T1,Eukaryota,Dark,100%,0%,0%,53%,473,80,10,5.02
C9J202,Eukaryota,Non-dark,35%,9%,0%,0%,215,64,0,4.48
Q5T2P9,Eukaryota,Non-dark,49%,33%,0%,0%,658,845,0,7.03
Q8TF27,Eukaryota,Non-dark,36%,16%,0%,0%,550,1845,0,6.78
P06280,Eukaryota,Non-dark,7%,1%,0%,0%,429,338,38,6.53
Q9UPQ3,Eukaryota,Non-dark,44%,33%,0%,0%,857,4615,4,9.13
Q99490,Eukaryota,Non-dark,40%,55%,0%,0%,1192,4336,42,9.46
Q96P47,Eukaryota,Non-dark,39%,31%,0%,0%,875,4466,2,11.59
Q96P64,Eukaryota,Non-dark,44%,27%,0%,0%,663,1986,0,6.31
A6NIR3,Eukaryota,Non-dark,45%,35%,0%,0%,686,1807,0,7.24
Q5VW22,Eukaryota,Non-dark,44%,30%,0%,0%,663,1931,0,6.23
Q5VUJ5,Eukaryota,Non-dark,46%,30%,0%,0%,663,1984,0,7.17
Q5SRD3,Eukaryota,Non-dark,44%,28%,0%,0%,663,2080,0,6.29
Q5VTM2,Eukaryota,Non-dark,48%,27%,0%,0%,703,885,0,7.89
P52594,Eukaryota,Non-dark,69%,37%,0%,0%,562,820,4,9.48
O95081,Eukaryota,Non-dark,73%,63%,13%,0%,481,823,12,6.08
Q8N302,Eukaryota,Non-dark,85%,67%,1%,0%,714,453,24,7.39
Q9H0P7,Eukaryota,Dark,100%,12%,0%,0%,198,1,0,6.22
Q53H12,Eukaryota,Non-dark,33%,9%,0%,0%,422,582,52,3.32
O95394,Eukaryota,Non-dark,2%,6%,0%,0%,542,387,16,9.09
Q9UL18,Eukaryota,Non-dark,0%,4%,0%,0%,857,NA,48,8.97
Q9UKV8,Eukaryota,Non-dark,0%,9%,0%,0%,859,620,46,10.59
Q9H9G7,Eukaryota,Non-dark,2%,5%,0%,0%,860,620,42,5.95
Q9HCK5,Eukaryota,Non-dark,3%,11%,0%,0%,861,619,4,8.14
O95994,Eukaryota,Non-dark,21%,10%,0%,0%,175,116,18,3.36
Q8TD06,Eukaryota,Non-dark,14%,0%,0%,0%,166,169,10,3.41
O00468,Eukaryota,Non-dark,17%,15%,10%,0%,2067,1396,62,13.59
O00253,Eukaryota,Non-dark,65%,4%,0%,0%,132,21,54,2.62
Q9BXM8,Eukaryota,Dark,100%,#VALUE!,0%,0%,129,NA,16,2.4
Q9BYV1,Eukaryota,Non-dark,17%,0%,0%,0%,514,957,88,5.52
P30556,Eukaryota,Non-dark,0%,0%,0%,43%,359,3887,72,2.84
P50052,Eukaryota,Non-dark,18%,0%,0%,43%,363,3849,68,2.15
Q5TGY3,Eukaryota,Dark,100%,73%,37%,0%,1603,19,0,17.57
Q8N157,Eukaryota,Non-dark,60%,36%,1%,0%,1196,5406,62,13.57
Q8IVF2,Eukaryota,Non-dark,98%,73%,0%,0%,5795,128,0,36.66
Q09666,Eukaryota,Non-dark,100%,74%,3%,0%,5890,130,52,33.86
A9YTQ3,Eukaryota,Non-dark,57%,48%,0%,0%,701,546,22,6.94
P35869,Eukaryota,Non-dark,57%,23%,5%,0%,848,625,50,10.4
O95433,Eukaryota,Non-dark,20%,17%,0%,0%,338,166,68,5.82
Q719I0,Eukaryota,Non-dark,22%,7%,0%,0%,299,75,2,2.66
Q9NZD4,Eukaryota,Non-dark,0%,20%,0%,0%,102,3,82,2.68
Q9GZX7,Eukaryota,Non-dark,9%,0%,0%,0%,198,50,32,1.97
Q96BJ3,Eukaryota,Non-dark,12%,16%,0%,0%,306,27,0,6.8
Q9BQI0,Eukaryota,Non-dark,0%,14%,0%,0%,150,489,0,3.34
P55008,Eukaryota,Non-dark,1%,21%,0%,0%,147,498,14,3.14
O95831,Eukaryota,Non-dark,12%,14%,0%,0%,613,1415,58,6.89
Q9BRQ8,Eukaryota,Non-dark,8%,1%,0%,6%,373,1614,4,5.26
Q96NN9,Eukaryota,Non-dark,15%,8%,0%,0%,605,1899,0,6.33
Q9NVV5,Eukaryota,Dark,100%,0%,0%,51%,245,99,0,2.66
Q8N1P7,Eukaryota,Non-dark,13%,6%,0%,0%,616,111,0,7.99
Q9Y4K1,Eukaryota,Non-dark,60%,50%,0%,0%,1723,113,2,12.96
O14862,Eukaryota,Non-dark,11%,9%,1%,0%,343,43,4,4.54
Q12904,Eukaryota,Non-dark,47%,27%,0%,0%,312,317,50,5.53
Q13155,Eukaryota,Non-dark,33%,7%,0%,0%,320,324,80,6.92
Q16352,Eukaryota,Non-dark,41%,19%,1%,0%,499,509,36,8.15
Q9NZN9,Eukaryota,Non-dark,13%,24%,0%,0%,384,1542,36,7.38
O00170,Eukaryota,Non-dark,0%,5%,0%,0%,330,1773,22,8.21
O43918,Eukaryota,Non-dark,61%,51%,0%,0%,545,313,30,7.78
Q9UKB5,Eukaryota,Dark,100%,56%,15%,5%,411,6,8,7.61
Q96IF1,Eukaryota,Non-dark,65%,49%,0%,0%,538,888,34,3.9
Q02040,Eukaryota,Dark,100%,48%,16%,0%,695,52,2,11.18
P14550,Eukaryota,Non-dark,0%,2%,0%,0%,325,1642,72,6.1
O60218,Eukaryota,Non-dark,0%,3%,0%,0%,316,1647,6,7.42
C9JRZ8,Eukaryota,Non-dark,8%,7%,0%,0%,344,NA,0,7.09
Q04828,Eukaryota,Non-dark,0%,0%,0%,0%,323,1647,54,5.66
P52895,Eukaryota,Non-dark,0%,0%,0%,0%,323,1647,6,4.67
P42330,Eukaryota,Non-dark,0%,1%,0%,0%,323,1644,40,5.48
P17516,Eukaryota,Non-dark,0%,0%,0%,0%,323,1648,58,6.52
P51857,Eukaryota,Non-dark,0%,0%,0%,0%,326,1646,70,4.97
O43572,Eukaryota,Non-dark,52%,31%,0%,0%,662,267,46,10.77
Q9UKA4,Eukaryota,Non-dark,94%,26%,7%,0%,1901,25,14,18.86
Q02952,Eukaryota,Dark,100%,95%,0%,0%,1782,27,18,24.56
Q86UN6,Eukaryota,Dark,100%,15%,0%,0%,197,22,4,2.12
O43687,Eukaryota,Non-dark,63%,65%,0%,0%,104,11,2,1.72
Q9P0M2,Eukaryota,Non-dark,34%,23%,0%,0%,348,216,2,6.89
Q92667,Eukaryota,Non-dark,62%,43%,0%,0%,903,336,60,13.26
Q9Y2D5,Eukaryota,Dark,100%,93%,0%,0%,859,19,6,15.89
O75969,Eukaryota,Non-dark,90%,37%,0%,0%,853,26,24,12.84
Q5JQC9,Eukaryota,Non-dark,89%,26%,0%,0%,854,32,50,15.19
P24588,Eukaryota,Non-dark,92%,78%,0%,0%,427,4,46,6.49
Q13023,Eukaryota,Non-dark,83%,45%,6%,0%,2319,70,54,24.27
O43823,Eukaryota,Dark,100%,65%,2%,0%,692,47,26,11.3
Q99996,Eukaryota,Dark,100%,26%,44%,0%,3911,97,64,38.01
Q5T2L2,Eukaryota,Non-dark,9%,0%,0%,0%,129,1136,0,2.39
Q96JD6,Eukaryota,Non-dark,7%,0%,0%,0%,320,1595,0,5
Q495B1,Eukaryota,Non-dark,27%,4%,0%,0%,522,5170,0,4.12
A6NHY2,Eukaryota,Non-dark,38%,6%,0%,0%,528,5304,0,4.6
Q9P2G1,Eukaryota,Non-dark,41%,37%,0%,0%,1089,5877,0,7.21
Q9NQ31,Eukaryota,Dark,100%,36%,0%,0%,210,7,4,1.64
Q9NWT8,Eukaryota,Dark,100%,20%,0%,0%,199,18,8,3.92
Q9H9L7,Eukaryota,Dark,100%,54%,28%,0%,192,39,0,1.65
Q53H80,Eukaryota,Dark,100%,25%,14%,0%,203,40,0,2.84
Q7Z591,Eukaryota,Dark,100%,90%,0%,0%,1439,40,2,15.41
Q5T1N1,Eukaryota,Dark,100%,58%,0%,0%,836,27,0,11.38
Q12802,Eukaryota,Non-dark,86%,61%,1%,0%,2813,1525,28,18.69
Q9ULX6,Eukaryota,Dark,100%,51%,4%,0%,646,48,20,10.67
P31749,Eukaryota,Non-dark,0%,16%,0%,0%,480,9983,64,10.45
P31751,Eukaryota,Non-dark,6%,8%,0%,0%,481,9986,2,10.35
Q9Y243,Eukaryota,Non-dark,9%,14%,0%,0%,479,9983,72,8.5
Q9H8T0,Eukaryota,Non-dark,38%,25%,0%,0%,292,938,26,5.24
Q96B36,Eukaryota,Dark,100%,91%,11%,0%,256,24,92,4.92
Q8N8R7,Eukaryota,Dark,100%,16%,11%,0%,260,48,0,5.83
P00352,Eukaryota,Non-dark,2%,2%,0%,0%,501,1455,40,11.71
O94788,Eukaryota,Non-dark,4%,5%,0%,0%,518,1441,82,11.08
P47895,Eukaryota,Non-dark,4%,9%,0%,0%,512,1448,58,11.88
P30837,Eukaryota,Non-dark,5%,3%,0%,0%,517,1453,42,12.25
O75891,Eukaryota,Non-dark,0%,4%,0%,0%,902,1965,102,14.45
Q3SY69,Eukaryota,Non-dark,10%,5%,0%,0%,923,1965,102,9.73
Q60I27,Eukaryota,Non-dark,25%,6%,0%,0%,953,1097,6,9.11
Q53TS8,Eukaryota,Dark,100%,47%,0%,0%,623,24,0,12.33
Q96Q35,Eukaryota,Dark,100%,23%,0%,0%,445,15,0,11.33
P30838,Eukaryota,Non-dark,0%,5%,0%,0%,453,1349,68,8.68
P51648,Eukaryota,Non-dark,8%,0%,0%,4%,485,1325,34,7.06
P43353,Eukaryota,Non-dark,5%,1%,0%,0%,468,1318,32,10.33
P48448,Eukaryota,Non-dark,8%,0%,0%,0%,385,1238,24,9.35
P30038,Eukaryota,Non-dark,3%,3%,0%,0%,563,1348,48,7.24
P20292,Eukaryota,Non-dark,0%,1%,0%,51%,161,45,46,2.08
P49419,Eukaryota,Non-dark,8%,3%,0%,0%,539,1436,30,7.64
Q9H2A2,Eukaryota,Non-dark,3%,1%,0%,0%,487,1464,0,7.83
P49189,Eukaryota,Non-dark,0%,1%,0%,0%,494,1454,36,9.29
P24298,Eukaryota,Non-dark,5%,3%,0%,0%,496,1482,26,9.42
Q8TD30,Eukaryota,Non-dark,8%,6%,0%,0%,523,1457,32,9.07
P02768,Eukaryota,Non-dark,0%,0%,0%,0%,609,39,48,8.32
P05091,Eukaryota,Non-dark,3%,3%,0%,0%,517,1438,52,13.63
P04075,Eukaryota,Non-dark,0%,5%,0%,0%,364,158,62,9.75
P05062,Eukaryota,Non-dark,0%,3%,0%,0%,364,157,62,7.65
P09972,Eukaryota,Non-dark,0%,4%,0%,0%,364,157,62,8.29
P15121,Eukaryota,Non-dark,0%,3%,0%,0%,316,1645,22,7.36
P84996,Eukaryota,Dark,100%,82%,38%,0%,626,4,94,8.62
Q2TAA5,Eukaryota,Non-dark,22%,0%,0%,9%,492,4971,36,9.66
Q9BV10,Eukaryota,Dark,100%,0%,0%,52%,488,243,16,4.73
Q9NP73,Eukaryota,Non-dark,67%,33%,7%,0%,1137,520,18,7.78
Q96F25,Eukaryota,Non-dark,34%,0%,0%,10%,216,114,16,0.38
